Fármaco(s),Forma Farmacéutica,Concentración,Fracción (Art. 226 LGS),Denominación Distintiva,Registro Sanitario,Titular,Indicación terapéutica
"CLINDAMICINA, Clorhidrato de palmitato de",Solución,75 mg / 5 mL,IV,DALACIN C,84560 SSA,"PFIZER, S.A. DE C.V.",Antibiótico (Macrólido) para infecciones ocasionadas por gérmenes sensibles.
"CLINDAMICINA, Fosfato de",Crema,2 g / 100 g,IV,DALACIN V,158M92 SSA,"PFIZER, S.A. DE C.V.",Antimicrobiano vaginal para infecciones ocasionadas por gérmenes sensibles.
"CLINDAMICINA, Fosfato de",Solución (Inyectable),150 mg / 1 mL,IV,DALACIN C,84745 SSA,"PFIZER, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por bacterias susceptibles.
"CLINDAMICINA, Fosfato de",Gel,1 g / 100 mL,IV,DALACIN T,439M93 SSA,"PFIZER, S.A. DE C.V.",Tratamiento de acné vulgar.
"CLINDAMICINA, Fosfato de / KETOCONAZOL",Tableta,100 mg / 800 mg,IV,FEMISAN 3D,257M2005 SSA,"LABORATORIOS GROSSMAN, S.A.",Antibiótico y antimicótico vaginal.
"CLINDAMICINA, Fosfato de / KETOCONAZOL",Crema,"2 g / 8 g / 100 g y
2 g / 16 g / 100 g",IV,FEMISAN,481M2002 SSA,"LABORATORIOS GROSSMAN, S.A.","Vaginosis bacteriana, preventivo de ruptura prematura de membranas en mujeres embarazadas con vaginosis."
CLIOQUINOL / FLUOCINONIDA,Gel,3 g / 50 mg / 100 g,IV,TOPSYN-Y,78905 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.","Antiinflamatorio tópico, antiséptico de aplicación cutánea."
CLOBAZAM,Comprimido,10 mg,II,FRISIUM,85925 SSA,SANDOZ GMBH,Tratamiento de estados de ansiedad agudos y crónicos. Tratamiento adicional en pacientes epilépticos no estabilizados adecuadamente con monoterapia anticonvulsivante.
"CLOBENZOREX, Clorhidrato de",Cápsula,30 mg,III,ASENLIX,82946 SSA,"GRIMANN, S.A. DE C.V.",Anorexigénico.
"CLOBENZOREX, Clorhidrato de",Tableta (Liberación prolongada),60 mg,III,ITRAVIL AP,053M2010 SSA,"INVESTIGACIÓN FARMACÉUTICA, S.A. DE C.V.",Anorexigénico.
"CLOBETASOL, Propionato de",Ungüento,0.044 g / 100 g,IV,DERMATOVATE,82163 SSA,"GLAXO WELLCOME, S.A.",Antiinflamatorio esteroideo.
"CLOBETASOL, Propionato de",Crema,0.044 g / 100 g,IV,DERMATOVATE,82021 SSA,"GLAXO WELLCOME, S.A.","Tratamiento de la psoriasis, antiinflamatorio tópico, liquen plano."
"CLOMIFENO, Citrato de",Tableta,50 mg,IV,OMIFIN,65748 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Inductor de la ovulación.
CLONAZEPAM,Comprimido,0.5 mg  y  2 mg,II,RIVOTRIL,81988 SSA,F. HOFFMANN - LA ROCHE LTD.,"Tratamiento para el trastorno de pánico con o sin agorafobia. Tratamiento adyuvante o en casos resistentes al tratamiento de ausencias típicas y atípicas , síndrome de Lennox Gastaut, convulsiones atónicas y tónicas clónicas, síndrome de West."
CLONAZEPAM,Solución,2.5 mg / mL,II,RIVOTRIL,82115 SSA,F. HOFFMANN - LA ROCHE LTD.,"Tratamiento para el trastorno de pánico con o sin agorafobia. Tratamiento adyuvante o en casos resistentes al tratamiento de ausencias típicas y atípicas, síndrome de Lennox Gastaut, convulsiones atónicas y tónicas clónicas, síndrome de West."
"CLOPERASTINA, Fendizoato de",Suspensión,360.7 mg / 100 mL,VI,PRIVITUSS,592M2003 SSA,"LABORATORIOS ALPHARMA, S.A. DE C.V.",Antitusivo.
"CLOPERASTINA, Fendizoato de",Jarabe,354 mg / 100 mL,IV,SEKISAN,543M2003 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.",Antitusivo.
"CLOPERASTINA, Fendizoato de",Cápsula,35 mg,VI,PRIVITUSS PERLAS,397M2006 SSA,"LABORATORIOS ALPHARMA, S.A. DE C.V.",Antitusivo.
"CLOPIDOGREL, Bisulfato de",Tableta,75 mg  y  300 mg,IV,PLAVIX,474M98 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Antitrombótico. Prevención de eventos aterotrombóticos.
"CLOPIDOGREL, Bisulfato de / ÁCIDO ACETILSALICÍLICO",Tableta,75 mg / 100 mg,IV,COPLAVIX,291M2009 SSA,"SANOFI PASTEUR, S.A. DE C.V.",Antiagregante plaquetario.
CLORAMBUCILO,Tableta,2 mg,IV,LEUKERAN,50481 SSA,ASPEN PHARMA PTY LTD.,Antineoplásico.
CLORANFENICOL Levogiro,Solución,5 mg / 1 mL,IV,CLORAMFENI OFTENO,45834 SSA,"LABORATORIOS SOPHIA, S.A. DE C.V.",Antimicrobiano de uso oftálmico.
"CLORFENAMINA,",Solución (Inyectable),10 mg / mL,V,CLORO-TRIMETON,38053 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antihistamínico.
"CLORFENAMINA, Maleato de",Tableta,4 mg,VI,CLORO - TRIMETON,37684 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antihistamínico
"CLORFENAMINA, Maleato de",Jarabe,50 mg / 100 mL,VI,CLORO - TRIMETON,38366 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Rinitis alérgica estacional, perenne, vasomotora, conjuntivitis alérgica y reacciones anafilácticas."
"CLORFENAMINA, Maleato de / DEXTROMETORFANO,
Bromhidrato de / FENILEFRINA, Clorhidrato de / PARACETAMOL",Cápsula,"2 mg / 10 mg /
5 mg / 250 mg y
2 mg / 10 mg /
5 mg / 320 mg",VI,TABCIN ACTIVE,307M97 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
"CLORFENAMINA, Maleato de / PARAMETASONA, Acetato de",Tableta,2 mg / 1 mg,IV,DILARMINE,80452 SSA,"ITALMEX, S.A.",Antihistamínico y antiinflamatorio esteroideo para el tratamiento de las afecciones inflamatorias alérgicas.
"CLORFENAMINA, Maleato de / PARAMETASONA, Acetato de",Suspensión,"40 mg / 20 mg /
100 mL",IV,DILARMINE,83593 SSA,"ITALMEX, S.A.",Antihistamínico. Antiinflamatorio esteroideo. Antialérgico.
"CLORFENAMINA, Maleato de / DEXTROMETORFANO,
Bromhidrato de / FENILEFRINA, Clorhidrato de / PARACETAMOL",Tableta,2 mg/10 mg/10 mg/ 500 mg,VI,TYLEX FLU,329M93 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
"CLORFENAMINA, Maleato de / FENILEFRINA, Clorhidrato de",Cápsula (Liberación prolongada),8 mg / 20 mg,VI,TEMPOCAPS,66930 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Descongestivo nasal. Antihistamínico.
"CLORFENAMINA, Maleato de / FENILEFRINA, Clorhidrato de / PARACETAMOL",Tableta,2 mg / 5 mg / 500 mg,VI,DESENFRIOL D,55563 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
"CLORFENAMINA, Maleato de / FENILEFRINA, Clorhidrato de / PARACETAMOL",Comprimido,4 mg / 5 mg / 500 mg,VI,RINOFREN,61095 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
"CLORFENAMINA, Maleato de / FENILEFRINA, Clorhidrato de / PARACETAMOL",Solución,"0.04 g / 0.05 g / 3 g /
100 mL",IV,FLAVIT-AV,81483 SSA,"GRIMANN, S.A. DE C.V.","Descongestivo, antihistamínico, analgésico y antipirético."
"CLORFENAMINA, Maleato de / PARACETAMOL",Solución,0.50 mg / 80 mg / 1 mL,VI,DESENFRIOL-ITO,52003NF SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
"CLORFENAMINA, Maleato de / PARACETAMOL",Comprimido,0.75 mg / 80 mg,VI,GENTIL-ITO,78129 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
"CLORFENAMINA, Maleato de AMANTADINA,  Clorhidrato de PARACETAMOL",Tableta,"3 mg / 50 mg /
375 mg",VI,XL-3 VR,049M2010 SSA,"GENOMMA LABORATORIES MÉXICO,
S.A. DE C.V.",Auxiliar en el tratamiento de resfriado común.
"CLORFENAMINA, Maleato de/ Bromhidrato de DEXTROMETORFANO /
Clorhidrato de FENILEFRINA / PARACETAMOL",Cápsula,2 mg/10 mg/5 mg/ 250 mg,VI,XL-3 XTRA,188M2003 SSA,"GENOMMA LABORATORIES MÉXICO,
S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
Clorhidrato de TOLPERISONA/ PARACETAMOL,Cápsula,50 mg / 300 mg,IV,MYDOCALM-A,234M83 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.","Analgésico no narcótico, relajante muscular."
"CLOROPIRAMINA, Clorhidrato de",Solución (Inyectable),20 mg / 2 mL,IV,AVAPENA,36500 SSA,SANDOZ GMBH,Antihistamínico.
"CLOROPIRAMINA, Clorhidrato de",Tableta,25 mg,VI,AVAPENA,38248 SSA,SANDOZ GMBH,Antihistamínico.
"CLOROQUINA, Fosfato de",Tableta,150 mg,IV,ARALEN,30336 SSA,"DINAFARMA, S.A. DE C.V.","Antipalúdico.
En Reumatología:
Tratamiento de la Artritis reumatoide.
Tratamiento del Lupus eritematoso sistémico discoide."
CLORURO DE CALCIO  / CLORURO DE POTASIO / CLORURO DE SODIO / LACTATO DE SODIO,Solución (Inyectable),"20 mg / 30 mg /
600 mg / 310 mg /
100 mL",IV,RINGER CON LACTATO DE SODIO BAXTER,027M2020 SSA,"BAXTER, S.A. DE C.V.","Modificador de equilibrio hídrico y electrolítico, agente alcalinizante."
CLORZOXAZONA / KETOPROFENO,Tableta,250 mg / 50 mg,VI,REUMOPHAN,14110 SSA,"GRISI HNOS, S.A. DE C.V.","Relajante muscular, antiinflamatorio con acción analgésica."
CLORZOXAZONA / KETOPROFENO / CARBONATO DE CALCIO,Tableta,125 mg /25 mg / 725 mg,VI,REUMOPHAN ALKA,0516M79 SSA,"GRISI HNOS, S.A. DE C.V.","Relajante muscular, Antiinflamatorio con acción analgésica."
"CLORZOXAZONA / KETOPROFENO / PIRIDOXINA,
Clorhidrato de/ TIAMINA, Clorhidrato de",Tableta,"250 mg / 50 mg /
50 mg / 50 mg",IV,REUMOPHAN VIT,440M2002 SSA,"GRISI HNOS, S.A. DE C.V.","Relajante muscular, Antiinflamatorio con acción analgésica, Antineurítico."
"CLOSTRIDIOPEPTIDASA A
(Colagenasa) / CLORANFENICOL",Ungüento,60 U / 1.00 g / 100 g,IV,ULCODERMA,80649 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.","Antibiótico para infecciones ocasionadas por gérmenes susceptibles, Enzimático fibrinolítico."
CLOTRIMAZOL,Crema,2 g / 100 g,VI,CANESTEN V,034M81 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antimicótico vaginal.
CLOTRIMAZOL,Crema,1 g / 100 g,VI,CANESTEN,78664 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antimicótico de amplio espectro.
CLOTRIMAZOL,Óvulo,200 mg  y  500 mg,VI,CANESTEN V,217M2002 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Antimicótico vaginal de amplio espectro para infecciones vulvovaginales ocasionadas por hongos, levaduras y/o bacterias sensibles al clotrimazol."
"CLOTRIMAZOL /
DEXAMETASONA,  Acetato de",Crema,1 g / 0.04 g / 100 g,IV,BAYCUTEN,153M80 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Antimicótico, Antiinflamatorio tópico. Para infecciones ocasionadas por hongos en la piel."
"CLOTRIMAZOL /
DEXAMETASONA, Acetato de / NEOMICINA, Sulfato de",Crema,"(1 g/ 0.04 g/0.5 g) /
100 g",IV,BAYCUTEN N,036M95 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Para el tratamiento de dermatitis causada por infección bacteriana secundaria, así como las causadas por dermatofitos, levaduras, mohos y otros hongos. Para el tratamiento de eczemas de diversas etiologías y eczemas por contacto, atópico, seborreico, numular y en
neurodermatitis."
COBAMAMIDA / TIOCOLCHICÓSIDO,Solución (Inyectable),20 mg / 4 mg / 4 mL,IV,NEUROFLAX,121M79 SSA,"DINAFARMA, S.A. DE C.V.","Relajante muscular, antineurítico."
COLCHICINA,Tableta,1 mg,IV,COLCHIQUIM,73204 SSA,"QUÍMICA Y FARMACIA, S.A. DE C.V.",Auxiliar con el tratamiento de la gota y de la cirrosis hepática.
"COLISTIMETATO, de sodio",Solución (Inyectable),150 mg,IV,COLMESDANT,152M2015 SSA,"ESPECÍFICOS STENDHAL, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por bacterias susceptibles.
COMPLEJO B  /  MELOXICAM,Tableta,"100 mg / 100 mg / 5 mg /
15 mg y
100 mg / 100 mg / 5 mg /
7.5 mg",IV,NURO-B,668M2004 SSA,"REPRESENTACIONES E INVESTIGACIONES MÉDICAS, S.A. DE C.V.","Antiinflamatorio no esteroideo, antineurítico."
COMPLEJO DE POLIMALTOSADO FERRICO EQUIVALENTE A HIERRO ELEMENTAL,Solución (Inyectable),100 mg / 2 mL,IV,FERRANINA IM,67383 SSA,"TAKEDA MÉXICO, S.A. DE C.V.",Para el tratamiento de anemia ferropriva.
COMPLEJO DE SACARATO DE OXIDO FERRICO EQUIVALENTE A (HIERRO ELEMENTAL),Solución (Inyectable),100 mg / 5 mL,IV,VENOFERRUM,65668 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Para el tratamiento de la anemia ferropriva.
COMPLEJO POLIMALTOSADO FERRICO EQUIVALENTE A HIERRO ELEMENTAL,Solución,"3.125 g/100 mL  y
17.86g 100 mL",IV,FERRANINA,105M80 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. de C.V.","En el tratamiento por deficiencia de hierro. Suplementación en lactantes, embarazo y lactancia"
"CONDROITINA, Sulfato sódico de",Tableta,800 mg,IV,CONDROSULF,445M2004 SSA,"LABORATORIOS CORNE, S.A. DE C.V.",Auxiliar en el tratamiento de la osteoartritis.
CONDROITINA / DIACEREÍNA,Tableta,600 mg / 50 mg,IV,CARTIGEN NF,106M2012 SSA,"REPRESENTACIONES E INVESTIGACIONES MÉDICAS, S.A. DE C.V.","Auxiliar en el tratamiento de artritis reumatoide, osteoartritis y osteoartrosis."
"CONDROITINA, Sulfato sódico de / GLUCOSAMINA, Sulfato de",Polvo,1200 mg / 1500 mg,IV,VARTALON COMPOSITUM,302M2002 SSA,"ASOFARMA DE MÉXICO, S.A. DE C.V.","Auxiliar en el tratamiento de la osteoartrosis, condro protector."
CROSPOVIDONA,Polvo,2 g,VI,LOGICAL,79168 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Restaurador de la flora intestinal, antidiarreico."
CUMARINA / TROXERUTINA,Tableta,30 mg / 180 mg,IV,VENALOT DEPOT,81106 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Síndrome varicoso.
DABIGATRÁN,Cápsula,"75 mg, 110 mg  y
150 mg",IV,PRADAXAR,358M2008 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.","Prevención de eventos tromboembólicos(EVT) en pacientes que han sido sometidos a cirugía ortopédica mayor. Prevención de evento vascular cerebral (EVC), embolismo sistémico y reducción de mortalidad vascular en pacientes con fibrilación auricular.
Tratamiento de trombosis venosa profunda (TVP) aguda y/o embolia pulmonar (EP) y prevención de muerte relacionada. Prevención de trombosis venosa profunda recurrente y/o embolia pulmunar y
prevención de muerte relacionada."
DANAZOL,Cápsula,100 mg  y  200 mg,IV,LADOGAL,421M79 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Para el tratamiento de la endometriosis y mastopatía fibroquística.
DAPAGLIFLOZINA PROPANODIOL,Tableta,5 mg  y  10 mg,IV,FORXIGA,049M2013 SSA,ASTRAZENECA AB,"Para el tratamiento de la Diabetes Mellitus tipo 2. Para reducir el riesgo de hospitalización por insuficiencia cardiaca en adultos con Diabetes Mellitus tipo 2 y enfermedad cardiovascular estblecida  o múltiples factores de riesgo cardiovascular, para el tratamiento de insuficiencia cardiaca con fracción de eyección reucida. Está indicado para la prevención del deterioro de nefropatía en pacientes con diabetes mellitus tipo 2. Indicado en adultos para el tratamiento de enfermedad renal crónica."
DAPOXETINA,Tableta,30 mg  y  60 mg,IV,PRILIGY,132M2009 SSA,"LABORATORIOS MENARINI, S.A.",Eyaculación precoz.
DAPTOMICINA,Solución (Inyectable),350 mg  y  500 mg,IV,CUBICINE,397M2008 SSA,MERCK SHARP & DOHME B.V.,Antibiótico para infecciones ocasionadas por bacterias Gram- positivas.
"DARIFENACINA, Bromhidrato de",Comprimido (Liberación prolongada),7.5 mg  y  15.0 mg,IV,EMSELEX,612M2005 SSA,ASPEN PHARMA PTY LTD,Para el tratamiento de la vejiga hiperactiva.
"DARUNAVIR, Etanolato de",Tableta,"75 mg, 150 mg,
400 mg y 600 mg",IV,PREZISTA,076M2007 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Tratamiento de la infección por el virus de inmunodeficiencia humana (VIH).
DECANOATO DE TESTOSTERONA / ISOCAPROATO DE TESTOSTERONA / FENILPROPIONATO DE TESTOSTERONA / PROPIONATO DE TESTOSTERONA,Solución (Inyectable),100 mg /60 mg / 60 mg /30 mg / 1mL,IV,SOSTENON 250,50064 SSA,ASPEN PHARMA PTY LTD,"Homonoterapia androgénica. Terapia de reemplazo con testosterona en hombres con condiciones asociadas con hipogonadismo primario y secundario, congénito o adquirido."
DEFERASIROX,Comprimido (Dispersable),"125 mg, 250 mg  y
500 mg",IV,EXJADE,192M2006 SSA,NOVARTIS PHARMA AG,"Tratamiento de la Hemosiderosis transfusional en mayores de 2 años. Tratamiento de la sobrecarga crónica de hierro en pacientes que padecen síndromes talasémicos no dependientes de transfusiones (NTDT, por sus siglas en inglés) en mayores de 10 años."
DEFERASIROX,Comprimido,"90 mg,  180 mg   y
360 mg",IV,JADINU,365M2017 SSA,NOVARTIS PHARMA AG,Tratamiento de la sobrecarga crónica de hierro debido a transfusiones sanguíneas (hemosiderosis transfusional) en pacientes adultos y pediátricos (a partir de los dos años de edad). Tratamiento de la sobrecarga crónica de hierro en pacientes de por lo menos 10 años de edad que padecen síndromes talasémicos no dependientes de transfusiones.
DEFLAZACORT,Tableta,6 mg  y  30 mg,IV,CALCORT,050M93 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Antiinflamatorio esteroideo.
DEGARELIX,Solución (Inyectable),"80 mg / 4.2 mL y
120 mg / 3.0 mL",IV,FIRMAGON FERRING,143M2009 SSA,"FERRING, S.A. DE C.V.",Para el tratamiento del cáncer de próstata avanzado.
DESFLURANO,Solución (Para inhalación),100 mL,IV,SUPRANE,540M96 SSA,"BAXTER, S.A. DE C.V.",Anestésico general.
DESLORATADINA,Tableta,5 mg,IV,AVIANT,023M2001 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Tratamiento de los síntomas asociados a la rinitis alérgica y otras afecciones alérgicas.
DESLORATADINA (micronizada),Jarabe,50 mg / 100 mL,IV,AVIANT,058M2002 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Antihistamínico.
"DESMOPRESINA, Acetato de",Solución (Para inhalación),10 mcg / dosis,IV,MINIRIN,520M96 SSA,FERRING GMBH,"Diabetes insípida, enuresis nocturna y nicturia."
"DESMOPRESINA, Acetato de",Tableta,89 mcg y 178 mcg,IV,MINIRIN,197M97 SSA,"FERRING, S.A. DE C.V.","Diabetes insípida, enuresis nocturna y nicturia."
DESMOPRESINA,Solución (Inyectable),15 mcg / mL  y 30 mcg / 2 mL,IV,OCTOSTIM,489M99 SSA,FERRING GMBH,"Tratamiento de tiempos de coagulación prolongados, tiempos de sangrados prolongados y trastornos plaquetarios."
DESMOPRESINA,Tableta (Sublingual),"60 mcg, 120 mcg  y
240 mcg",IV,MINIRIN MELT,021M2009 SSA,FERRING GMBH,"Antidiurético. Diabetes insípida, enuresis nocturna y nicturia."
DESOGESTREL,Tableta,75 mg,IV,CERAZETTE,331M99 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Anticonceptivo hormonal oral.
DESOGESTREL / ETINILESTRADIOL,Tableta,0.15 mg / 0.02 mg,IV,MERCILON,001M93 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Anticonceptivo.
DESOGESTREL / ETINILESTRADIOL,Tableta,0.15 mg / 0.03 mg,IV,MARVELON,298M87 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Anticonceptivo.
DESOGESTREL/ ETINILESTRADIOL,Tableta,"0.050 mg / 0.035 mg,
0.100 mg / 0.030 mg,
0.150 mg / 0.030 mg",IV,NOVIAL,357M2002 SSA,ASPEN PHARMA PTY LTD,Anticonceptivo.
"DESVENLAFAXINA, Monohidrato de succinato de",Tableta (Liberación prolongada),50 mg  y  100 mg,IV,PRISTIQ,016M2009 SSA,"PFIZER, S.A. DE C.V.",Trastorno depresivo mayor y síntomas vasomotores asociados con la menopausia.
DEXAMETASONA,Tableta,4 mg  y  6 mg,IV,DECOREX,218M2006 SSA,"LABORATORIOS PISA, S.A. DE C.V.",Corticosteroide sistémico.
DEXAMETASONA,Tableta,0.5 mg  y  0.75 mg,IV,ALIN,61311 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",Corticosteroide sistémico.
DEXAMETASONA / FENILBUTAZONA,Tableta,0.50 mg / 100 mg,IV,DIBUTASONA,80385 SSA,"LABORATORIOS DIBA, S.A.","Analgésico, antiinflamatorio no esteroideo."
"DEXAMETASONA,
21-Isonicotinato de",Suspensión (Inyectable),"4 mg / 1 mL y
8 mg / 2 mL",IV,ALIN DEPOT,86159 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",Corticoesteroide sistémico.
DEXAMETASONA / TOBRAMICINA,Suspensión,1 mg / 3 mg / 1 mL,IV,TOBRADEX,161M91 SSA,NOVARTIS PHARMA AG,"Procesos infecciosos que cursan con inflamación de la conjuntiva palpebral, bulbar, cornea, segmento anterior del ojo en uveítis crónica anterior, daño corneal y como profiláctico en la inflamación/infección posquirúrgica."
DEXAMETASONA / TOBRAMICINA,Ungüento,1 mg / 3 mg / 1 g,IV,TOBRADEX,228M92 SSA,NOVARTIS PHARMA AG,"Procesos infecciosos que cursan con inflamación de la conjuntiva palpebral, bulbar, cornea, segmento anterior del ojo en uveítis crónica anterior, daño corneal y como profiláctico en la inflamación/infección posquirúrgica."
DEXKETOPROFENO DE TROMETAMOL,Solución (Inyectable),50 mg / 2 mL,IV,STADIUM,551M2004 SSA,"GRIMANN, S.A. DE C.V.",Analgésico no narcótico.
DEXKETOPROFENO DE TROMETAMOL,Tableta,12.5 mg  y  25 mg,IV,STADIUM,506M2002 SSA,"GRIMANN, S.A. DE C.V.","Analgésico, antiinflamatorio no narcótico. Tratamiento sintomético del dolor agudo de diversa etiología."
DEXLANSOPRAZOL,Cápsula (Liberación retardada),30 mg  y  60 mg,IV,DEXIVANT,068M2011 SSA,"TAKEDA MÉXICO, S.A. DE C.V.",Tratamiento de reflujo gastroesofágico.
DEXMEDETOMIDINA,Solución (Inyectable),200 mcg / 2 mL; 80mcg / 20 mL; 200 mcg / 50 mL; 400mcg / 100 mL,IV,PRECEDEX,207M2000 SSA,"PFIZER, S.A. DE C.V.",Agonista de los receptores alfa-2-adrenérgicos.
DEXPANTENOL,Pomada,5 g / 100 g,VI,BEPANTHEN,589M2003 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Reconstituyente y regenerador epitelial para la prevención y el tratamiento de la piel rozada, irritada, agrietada o con quemaduras leves. Para la prevención y tratamiento de la dermatitis de pañal. Tratamiento de fisuras mamarias y del pezón, cicatrización de heridas, fisuras, erosiones cutáneas y xerosis cutánea. Alivio del ardor y la comezón. Auxiliar en el transplante de piel (injertos)."
"DEXRAZOXANO, Clorhidrato de",Solución (Inyectable),500 mg,IV,CARDIOXANE,057M99 SSA,"ASOFARMA DE MÉXICO, S.A. DE C.V.",Prevención de la cardiotoxicidad inducida por antraciclinas en pacientes bajo terapia antineoplásica.
DEXTROMETORFANO / GUAIFENESINA / PARACETAMOL,Supositorio,7.5 mg / 50 mg / 100 mg,IV,MEGAL,70443 SSA,"INDUSTRIA FARMACÉUTICA ANDRÓMACO,
S.A. DE C.V.","Expectorante, antitusivo, analgésico, antipirético."
"DEXTROMETORFANO,
Bromhidrato de",Cápsula,30 mg,VI,MUCOCALM,377M2002 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.",Antitusivo.
"DEXTROMETORFANO,
Bromhidrato de",Cápsula (Liberación prolongada),30 mg,VI,ATHOS,60619 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Antitusivo.
"DEXTROMETORFANO,
Bromhidrato de / Clorfenamina, Maleato de / Amonio, Cloruro de",Jarabe,"0.250 g / 0.020 g /
2.500 g",IV,TORFADRIN,71455 NF SSA,"STREGER, S.A.","Sedante de la tos, expectorante."
"DEXTROMETORFANO,
Bromhidrato de / DOXILAMINA, Succinato de /  FENILEFRINA, Clorhidrato de /PARACETAMOL",Cápsula,"10 mg / 6.25 mg / 5.0 mg /
250 mg y
10 mg / 6.25 mg / 5.0 mg /
325 mg",VI,TABCIN NOCHE,486M2000 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
"DEXTROMETORFANO,
Bromhidrato de / GUAIFENESINA",Solución,"0.3 g  / 2 g / 100 mL  y
0.1 g / 2 g / 100 mL",VI,BRONCOMED,57511 SSA,"LABORATORIOS LIOMONT, S.A. DE C.V.",Expectorante. Antitusivo.
"DEXTROMETORFANO,
Bromhidrato de / LORATADINA / PARACETAMOL",Cápsula,10 mg / 2 mg / 300 mg,VI,LADEXGEL,222M2012 SSA,"PROGELA, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
"DEXTROMETORFANO,
Bromhidrato de / SULFOGUAYACOL",Jarabe,"0.300 g / 2.500 g /
100 mL",VI,EUCALIPTINE,13780 SSA,"DINAFARMA, S.A. DE C.V.","Auxiliar en la expectoración de las flemas, Antitusivo."
DIACEREINA,Cápsula,50 mg,IV,CARTIGEN,237M2004 SSA,"REPRESENTACIONES E INVESTIGACIONES MÉDICAS, S.A. DE C.V.",Auxiliar en el tratamiento de la osteoartritis.
DIACEREÍNA / MELOXICAM,Cápsula,50 mg / 15 mg,IV,DOLOCARTIGEN,684M2004,"REPRESENTACIONES E INVESTIGACIONES MÉDICAS, S.A. DE C.V.",Tratamiento y prevención de la osteoartritis.
DIAZEPAM,Cápsula,8 mg,II,DIATEX,074M94 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.","Relajante muscular, Ansiolítico."
DIAZEPAM,Comprimido,10  mg,II,VALIUM,58834 SSA,"LABORATORIOS QUIMPHARMA,
S.A. DE C.V.","Anticonvulsivante, ansiolítico."
DIAZEPAM / SULPIRIDA,Tableta,2.5 mg / 50 mg,II,NUMENCIAL,80203 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Ansiolítico, Antidepresivo."
"DIAZEPAM /
FENPROPOREX, Clorhidrato de",Cápsula (Liberación prolongada),6 mg / 20 mg,II,ESBELCAPS,79875 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Anorexigénico.
